6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;7,6,0,-1;8,6,0,-1;8,6,0,-1;8,6,0,-1;8,6,0,-1;8,6,0,-1;8,6,0,-1;9,6,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;7,6,0,-1;8,6,0,-1;8,6,0,-1;11,8,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;10,8,0,-1;8,6,0,-1;9,6,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;7,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;8,7,0,-1;9,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;6,7,0,-1;
